KEY,Chinese,
Login,登录,
SignIn,注册,
JiaZai,正在努力加载中
ShengYuRound,当前回合:
Time,TIME:
Exit,退出战斗
Sound,音效
Music,音乐
Continue fighting,继续战斗
BenHuai,崩坏模式
text_1,是否离开游戏？
Yes,是
No,否
Skip,跳过
XiaZhen,下阵
Piece,件
Friends,伙伴
Pet,宠物
ZhenXing,阵型
EnterGame,进入游戏
Att_1,攻击
Att_2,防御值
Att_3,当前血量
Att_4,生命
ServerError_1,参数为空
ServerError_12000,天赋配置不存在
ServerError_12001,您不可以使用该天赋
ServerError_12002,没有变化
ServerError_13000,没有找到PVP队伍
ServerError_13001,没有找到PVP玩家
ServerError_13002,玩家没在匹配队列中
OneKeyEquip,一键装备
Detail,详情
Sort,排序
DaoJu,道具
ShiZhuang,时装
ZhuangBei,装备
XiaoHao,消耗
CaiLiao,材料
SuiPian,碎片
earring,耳饰
neckWear,颈饰
waist,护腰
cuff,护腕
ring,戒指
natural,自然
whitePhase,白阶
greenPhase,绿阶
bluePhase,蓝阶
purplePhase,紫阶
orangePhase,橙阶
zhanLi,战力
Att1,物理攻击力
Att2,物理防御
Att3,当前HP
Att4,HP
Att5,魔法强度
Att6,魔法抗性
Att7,暴击
Att8,暴击抵抗
Att9,暴击伤害提升
Att10,暴击伤害减免
Att11,伤害提升
Att12,伤害减免
Att13,易伤加成
Att31,力量/敏捷/智力
Att32,护甲
Att33,体质
Bag,背包
SuitAttribute,套装属性
equipped,已装备
gain,获取
equipOn,装备
equipOff,卸下
use,使用
sell,出售
zhanLi,战力
useLevel,使用等级
SureSell,确认出售？
SellNum,出售数量
Ok,确定
Cancel,取消
Sell,出售
go,前往
Level,Lv.
acquired,已获得
notAcquired,未获得
ChangeFormation,调整阵型
PiPeiPlayer,匹配玩家
WanFaShuoMing,玩法说明
Ranking,排行榜
QieHuanTianFu,切换天赋
TianFu_1,达到条件即可领取
TianFu_2,星星数量
TianFu_3,当前天赋:
GameRound,游戏时间:%num回合
PiPei_1,匹配
PiPei_2,当前奖杯:%num
PiPei_3,战力:%num
TiShi_1,暂不开放



